Hw1,Hw2,Hw3,Hw4,Hw5,Exam1,Exam2,Exam3,Exam4
25.0,79.0,18.0,53.0,44.0,76.0,29.0,51.0,19.0
33.0,88.0,13.0,49.0,34.0,55.0,25.0,30.0,25.0
22.0,100.0,26.0,51.0,44.0,68.0,12.0,42.0,27.0
43.0,92.0,35.0,54.0,42.0,53.0,31.0,48.0,17.0
38.0,87.0,25.0,43.0,41.0,46.0,31.0,42.0,33.0
50.0,85.0,28.0,46.0,50.0,100.0,32.0,50.0,14.0
36.0,73.0,26.0,54.0,31.0,64.0,27.0,41.0,21.0
43.0,79.0,18.0,48.0,49.0,75.0,31.0,46.0,31.0
25.0,74.0,26.0,54.0,44.0,84.0,17.0,38.0,34.0
26.0,87.0,28.0,48.0,47.0,100.0,21.0,25.0,37.0
35.0,67.0,18.0,41.0,46.0,65.0,44.0,36.0,27.0
14.0,79.0,11.0,40.0,44.0,61.0,39.0,54.0,48.0
27.0,92.0,28.0,53.0,50.0,57.0,22.0,53.0,8.0
49.0,83.0,25.0,47.0,40.0,68.0,34.0,57.0,50.0
34.0,65.0,21.0,35.0,45.0,83.0,25.0,55.0,33.0
32.0,66.0,14.0,29.0,39.0,100.0,32.0,57.0,22.0
17.0,65.0,26.0,50.0,50.0,81.0,39.0,43.0,26.0
20.0,62.0,27.0,36.0,50.0,100.0,6.0,53.0,13.0
39.0,93.0,25.0,32.0,42.0,70.0,24.0,43.0,34.0
37.0,57.0,23.0,60.0,43.0,66.0,34.0,22.0,47.0
29.0,77.0,26.0,54.0,44.0,61.0,35.0,24.0,35.0
23.0,64.0,39.0,45.0,46.0,39.0,19.0,47.0,39.0
41.0,75.0,29.0,50.0,36.0,76.0,31.0,50.0,31.0
28.0,58.0,24.0,56.0,35.0,62.0,16.0,52.0,29.0
31.0,72.0,28.0,41.0,30.0,86.0,29.0,43.0,24.0
38.0,81.0,22.0,43.0,40.0,71.0,13.0,49.0,26.0
37.0,54.0,21.0,44.0,37.0,77.0,22.0,29.0,22.0
40.0,88.0,24.0,49.0,46.0,82.0,35.0,31.0,42.0
32.0,72.0,23.0,41.0,39.0,79.0,38.0,44.0,35.0
29.0,73.0,28.0,41.0,43.0,83.0,18.0,47.0,43.0
47.0,74.0,35.0,55.0,40.0,51.0,23.0,54.0,34.0
30.0,98.0,27.0,22.0,47.0,85.0,27.0,49.0,34.0
23.0,69.0,18.0,36.0,39.0,84.0,26.0,41.0,29.0
35.0,91.0,11.0,49.0,42.0,37.0,9.0,37.0,37.0
39.0,61.0,32.0,59.0,47.0,63.0,34.0,52.0,44.0
29.0,32.0,40.0,29.0,45.0,100.0,28.0,54.0,20.0
19.0,67.0,33.0,42.0,41.0,79.0,34.0,32.0,23.0
28.0,91.0,27.0,60.0,50.0,74.0,35.0,47.0,28.0
41.0,65.0,23.0,58.0,44.0,59.0,21.0,54.0,29.0
32.0,67.0,26.0,41.0,37.0,57.0,18.0,56.0,43.0
40.0,67.0,19.0,40.0,40.0,100.0,7.0,50.0,22.0
34.0,60.0,17.0,34.0,50.0,72.0,19.0,50.0,35.0
41.0,48.0,27.0,53.0,37.0,84.0,39.0,45.0,43.0
41.0,64.0,25.0,29.0,43.0,80.0,31.0,45.0,42.0
25.0,73.0,25.0,60.0,44.0,65.0,25.0,37.0,37.0
32.0,48.0,25.0,42.0,37.0,74.0,37.0,50.0,41.0
23.0,82.0,26.0,50.0,47.0,48.0,25.0,38.0,34.0
27.0,95.0,19.0,36.0,45.0,53.0,22.0,38.0,49.0
42.0,74.0,22.0,54.0,47.0,85.0,25.0,30.0,34.0
30.0,85.0,32.0,38.0,47.0,100.0,20.0,60.0,26.0
35.0,75.0,25.0,37.0,42.0,62.0,28.0,48.0,50.0
47.0,67.0,27.0,55.0,45.0,74.0,25.0,53.0,27.0
32.0,82.0,27.0,47.0,43.0,94.0,42.0,49.0,33.0
42.0,67.0,20.0,45.0,32.0,52.0,22.0,33.0,25.0
31.0,50.0,22.0,40.0,45.0,98.0,26.0,45.0,36.0
37.0,60.0,24.0,48.0,38.0,92.0,34.0,39.0,33.0
27.0,85.0,18.0,43.0,41.0,76.0,11.0,57.0,25.0
36.0,72.0,20.0,36.0,50.0,64.0,27.0,38.0,29.0
39.0,89.0,24.0,31.0,50.0,58.0,13.0,60.0,31.0
